,tick,stateEstimate.x,stateEstimate.y,stateEstimate.yaw,mr18.m0,mr18.m1,mr18.m2,mr18.m3,mr18.m4,mr18.m5,mr18.m6,mr18.m7,mr18.m8,mr18.m9,mr18.m10,mr18.m11,mr18.m12,mr18.m13,mr18.m14,mr18.m15
99,1330.0,-0.18211,0.154735,-0.3711202337667028,864.0,925.0,5007.0,2001.0,5002.0,1606.0,791.0,583.0,5002.0,2019.0,1092.0,1207.0,1159.0,1207.0,1291.0,967.0
100,1342.0,-0.18201,0.15825,-0.3649844287386467,861.0,930.0,5002.0,5002.0,5002.0,5007.0,806.0,563.0,5002.0,5001.0,1104.0,1205.0,1172.0,1205.0,1269.0,977.0
101,1350.0,-0.182059,0.158234,-0.3486614341131647,861.0,930.0,5002.0,5002.0,5002.0,5007.0,806.0,563.0,5002.0,5001.0,1104.0,1205.0,1172.0,1205.0,1269.0,977.0
102,1371.0,-0.181589,0.158021,-0.2986307594423412,852.0,922.0,5007.0,2113.0,5002.0,1542.0,807.0,558.0,5002.0,5002.0,1082.0,1208.0,1168.0,1190.0,1314.0,985.0
103,1382.0,-0.18214,0.157705,-0.2848837830637674,852.0,922.0,5007.0,2113.0,5002.0,1542.0,807.0,558.0,5002.0,5002.0,1082.0,1208.0,1168.0,1190.0,1314.0,985.0
104,1391.0,-0.181791,0.156572,-0.2594066417454802,852.0,922.0,5007.0,2113.0,5002.0,1542.0,807.0,558.0,5002.0,5002.0,1082.0,1208.0,1168.0,1190.0,1314.0,985.0
105,1411.0,-0.182702,0.15403,-0.2103431198328375,864.0,929.0,5002.0,2047.0,5002.0,1662.0,802.0,577.0,5001.0,5002.0,1014.0,1206.0,1166.0,1189.0,1302.0,954.0
106,1422.0,-0.182829,0.156296,-0.1994087932705609,864.0,929.0,5002.0,2047.0,5002.0,1662.0,802.0,577.0,5001.0,5002.0,1014.0,1206.0,1166.0,1189.0,1302.0,954.0
107,1432.0,-0.183203,0.156465,-0.1823787687258874,864.0,929.0,5002.0,2047.0,5002.0,1662.0,802.0,577.0,5001.0,5002.0,1014.0,1206.0,1166.0,1189.0,1302.0,954.0
108,1440.0,-0.184297,0.157217,-0.1951161934694408,864.0,929.0,5002.0,2047.0,5002.0,1662.0,802.0,577.0,5001.0,5002.0,1014.0,1206.0,1166.0,1189.0,1302.0,954.0
109,1460.0,-0.184571,0.156909,-0.1591017853409026,855.0,923.0,5007.0,5002.0,5001.0,1659.0,811.0,573.0,5001.0,1997.0,1083.0,1211.0,1175.0,1206.0,1301.0,962.0
110,1470.0,-0.183336,0.156637,-0.1374714826591238,855.0,923.0,5007.0,5002.0,5001.0,1659.0,811.0,573.0,5001.0,1997.0,1083.0,1211.0,1175.0,1206.0,1301.0,962.0
111,1480.0,-0.182869,0.156081,-0.1225648397032052,853.0,928.0,5002.0,2053.0,5002.0,1646.0,803.0,569.0,5002.0,5001.0,1011.0,1223.0,1156.0,1186.0,1331.0,962.0
112,1500.0,-0.183917,0.156113,-0.1145743702923107,853.0,928.0,5002.0,2053.0,5002.0,1646.0,803.0,569.0,5002.0,5001.0,1011.0,1223.0,1156.0,1186.0,1331.0,962.0
113,1515.0,-0.183758,0.155227,-0.0335457048766579,855.0,924.0,5002.0,2004.0,5002.0,1621.0,803.0,563.0,5002.0,5002.0,5007.0,1227.0,1182.0,1195.0,1275.0,945.0
114,1520.0,-0.183753,0.155231,-0.0335457048766579,855.0,924.0,5002.0,2004.0,5002.0,1621.0,803.0,563.0,5002.0,5002.0,5007.0,1227.0,1182.0,1195.0,1275.0,945.0
115,1550.0,-0.184539,0.153324,0.0273429783781307,855.0,924.0,5002.0,2004.0,5002.0,1621.0,803.0,563.0,5002.0,5002.0,5007.0,1227.0,1182.0,1195.0,1275.0,945.0
116,1565.0,-0.184856,0.152381,0.038490559831755,852.0,927.0,5007.0,2056.0,5001.0,5002.0,789.0,571.0,5002.0,5001.0,1037.0,1212.0,1161.0,1185.0,1284.0,955.0
117,1570.0,-0.185192,0.153514,0.028076020581221,852.0,927.0,5007.0,2056.0,5001.0,5002.0,789.0,571.0,5002.0,5001.0,1037.0,1212.0,1161.0,1185.0,1284.0,955.0
118,1590.0,-0.184903,0.154675,-0.0278332010676446,850.0,903.0,5007.0,2044.0,5002.0,5007.0,793.0,572.0,5002.0,5001.0,1019.0,1205.0,1165.0,1186.0,1305.0,952.0
119,1605.0,-0.185188,0.153267,-0.0322292197507858,850.0,903.0,5007.0,2044.0,5002.0,5007.0,793.0,572.0,5002.0,5001.0,1019.0,1205.0,1165.0,1186.0,1305.0,952.0
120,1610.0,-0.184856,0.153881,-0.0357282157098703,850.0,903.0,5007.0,2044.0,5002.0,5007.0,793.0,572.0,5002.0,5001.0,1019.0,1205.0,1165.0,1186.0,1305.0,952.0
121,1630.0,-0.184399,0.153339,-0.0868237324429444,857.0,909.0,5002.0,2042.0,5002.0,1534.0,806.0,564.0,5002.0,2107.0,5007.0,1188.0,1166.0,1194.0,1287.0,940.0
122,1640.0,-0.183989,0.153025,-0.1106994567238409,857.0,909.0,5002.0,2042.0,5002.0,1534.0,806.0,564.0,5002.0,2107.0,5007.0,1188.0,1166.0,1194.0,1287.0,940.0
123,1650.0,-0.183457,0.153273,-0.1122028979782642,857.0,909.0,5002.0,2042.0,5002.0,1534.0,806.0,564.0,5002.0,2107.0,5007.0,1188.0,1166.0,1194.0,1287.0,940.0
124,1660.0,-0.18471,0.153252,-0.1024391241914398,857.0,909.0,5002.0,2042.0,5002.0,1534.0,806.0,564.0,5002.0,2107.0,5007.0,1188.0,1166.0,1194.0,1287.0,940.0
125,1680.0,-0.185185,0.152987,-0.1060052135083341,856.0,911.0,5002.0,1988.0,5001.0,1611.0,811.0,554.0,5001.0,5002.0,1075.0,1199.0,1155.0,1199.0,1288.0,957.0
126,1692.0,-0.184726,0.152588,-0.1078426891573186,856.0,911.0,5002.0,1988.0,5001.0,1611.0,811.0,554.0,5001.0,5002.0,1075.0,1199.0,1155.0,1199.0,1288.0,957.0
127,1700.0,-0.185152,0.152057,-0.1059158320922937,846.0,900.0,5007.0,1957.0,5002.0,1542.0,799.0,561.0,5002.0,5002.0,1009.0,1214.0,1176.0,1221.0,1298.0,963.0
128,1720.0,-0.185754,0.152446,-0.133075177497085,846.0,900.0,5007.0,1957.0,5002.0,1542.0,799.0,561.0,5002.0,5002.0,1009.0,1214.0,1176.0,1221.0,1298.0,963.0
129,1733.0,-0.184862,0.153236,-0.1470501910781209,846.0,900.0,5007.0,1957.0,5002.0,1542.0,799.0,561.0,5002.0,5002.0,1009.0,1214.0,1176.0,1221.0,1298.0,963.0
130,1740.0,-0.185067,0.153748,-0.160864203518725,848.0,913.0,5007.0,2155.0,5002.0,1689.0,815.0,571.0,5002.0,2106.0,1023.0,1218.0,1163.0,1185.0,1313.0,972.0
